cle_canonique;niveau;chapitre;titre_md;ligne_md;etat;id_graphe;nom_graphe
III.2;1;chap3;Des marques d'une politique de crises : une gouvernance de huis clos routinière;253;PRESENTE;89663a261c1545c1941ab7f871314a53;III.2 Des marques d'une politique de crises : une gouvernance de huis clos routinière
III.3;1;chap3;Une gouvernance publique d'exception : le *Hard Fork* d'Ethereum consécutif à l'attaque de « The DAO »;505;ABSENTE;;
III.4;1;chap3;Conclusion du Chapitre III;751;PRESENTE;486a5848fb304465a19d3a28bafcb603;III.4 Conclusion du Chapitre III
A.1;2;intro;1) Un intérêt pour la monnaie et les « Objets Monétaires Non Identifiés »;76;PRESENTE;707ffa8647a7acc3f95f8af261c4c77e;A.1. Un intérêt pour la monnaie et les « Objets Monétaires Non Identifiés »
A.2;2;intro;2) La controverse sur le caractère monétaire des crypto-monnaies;86;PRESENTE;4c8427cf88d26487ceeb26dc51dddafc;A.2. La controverse sur le caractère monétaire des cryptomonnaies
A.3;2;intro;3) Révéler l'« indicible » gouvernance des CM contre les prétentions libérales technicistes;94;PRESENTE;29b2b4aff0e4ef2ae111f10d72a69dab;A.3. Révéler l'« indicible » gouvernance des CM contre les prétentions libérales technicistes
B.1;2;intro;1) L'institutionnalisme monétaire pour caractériser les CM comme monnaie;112;PRESENTE;4a8d6940c30a34aada2553ed8febd6bb;B.1. L'institutionnalisme monétaire pour caractériser les CM comme monnaies
B.2;2;intro;2) Gouvernance des CM : perspectives sociologiques;136;PRESENTE;600a5e7b08126f881793ff6696c244a0;B.2. Gouvernance des CM : perspectives sociologiques
B.3;2;intro;3) La gouvernance de Bitcoin et d'Ethereum dévoilée par leurs crises;158;PRESENTE;11892ab65226a8fde71e11d23dff672c;B.3. La gouvernance de Bitcoin et d'Ethereum dévoilée par leurs crises
C.1;2;intro;Enquêter sur la gouvernance des CM : contraintes et enjeux;180;PRESENTE;739e889ff25c2e6c60b4cb8e1c4fe169;C.1. Enquêter sur la gouvernance des CM : contraintes et enjeux
C.2;2;intro;2) Stratégie d'accès et matériaux de terrain récoltés;200;PRESENTE;4615956ddad16a1de0c360886fa0932f;C.2. Stratégie d'accès et matériaux de terrain récoltés
I.1.1;2;chap1;Du terreau matériel et idéel aux racines de Bitcoin;105;PRESENTE_TITRE_DIVERGENT;4ec3224a44f06315d26d3cac111e5efc;I.1.1 — Une monnaie frappée au coin de philosophies politiques et d'expériences pratiques
I.1.2;2;chap1;Bitcoin : une chimère théorico-pratique très politique;137;PRESENTE_TITRE_DIVERGENT;439782308b5dedb9c5da7022bc2b82ef;I.1.2 — Une création hétérodoxe, entre recherche académique et recherche appliquée
