section_key;policy;top12_size;survivors_vs_legacy;new_entrants;measured_candidates;pinned;aggregated_from
glossaire_preamble;verified-first;12;12;0;0;0;0
intro_A;diagnostic-only;12;12;0;61;3;0
intro_A;direct-count;12;6;6;61;3;0
intro_A;hybrid-cautious;12;7;5;61;3;0
intro_A;legacy;12;12;0;61;3;0
intro_A;verified-first;12;7;5;61;3;0
intro_B;diagnostic-only;12;12;0;47;4;0
intro_B;direct-count;12;7;5;47;4;0
intro_B;hybrid-cautious;12;7;5;47;4;0
intro_B;legacy;12;12;0;47;4;0
intro_B;verified-first;12;11;1;47;4;0
intro_C;diagnostic-only;12;12;0;38;4;0
intro_C;direct-count;12;8;4;38;4;0
intro_C;hybrid-cautious;12;8;4;38;4;0
intro_C;legacy;12;12;0;38;4;0
intro_C;verified-first;12;12;0;38;4;0
intro_D;diagnostic-only;12;12;0;26;0;0
intro_D;direct-count;12;5;7;26;0;0
intro_D;hybrid-cautious;12;1;11;26;0;0
intro_D;legacy;12;12;0;26;0;0
intro_D;verified-first;12;1;11;26;0;0
intro_E;diagnostic-only;12;12;0;2;0;0
intro_E;direct-count;12;11;1;2;0;0
intro_E;hybrid-cautious;12;5;7;2;0;0
intro_E;legacy;12;12;0;2;0;0
intro_E;verified-first;12;8;4;2;0;0
intro_preamble;diagnostic-only;12;12;0;16;0;0
intro_preamble;direct-count;12;9;3;16;0;0
intro_preamble;hybrid-cautious;12;12;0;16;0;0
intro_preamble;legacy;12;12;0;16;0;0
intro_preamble;verified-first;12;12;0;16;0;0
